issue_id,required_skills
24028,"Bazel build system, Custom estimator creation, Debugging, Git, Git version control system, Git**, GitHub Actions CI/CD tool, Logging and debugging, Loss calculation, Model training and evaluation, PyTest, Python, Python 2.7.12, Python documentation generation, Python extension modules, Python packaging standards (PEP 517), Python testing frameworks, Python virtual environments, Python**, TensorFlow Lite, TensorFlow Lite hardware acceleration integration, TensorFlow Lite model compression, TensorFlow Lite model conversion, TensorFlow Lite model deployment, TensorFlow Lite model evaluation, TensorFlow Lite model export, TensorFlow Lite model inference, TensorFlow Lite model optimization, TensorFlow Lite model pruning, TensorFlow Lite model quantization, TensorFlow Lite operations legalization, TensorFlow Lite schema handling, TensorFlow estimator train_and_evaluate, TensorFlow installation and configuration, TensorFlow version (r1.1), TensorFlow version compatibility, Version control (Git), Version management"
24011,"TensorFlow, TensorFlow Lite development, TensorFlow Lite model manipulation, TensorFlow Lite schema handling, TensorFlow installation and configuration, Testing and validation of numerical computations, Testing frameworks (pytest), Type Checking Tools**, Vectorization"
24168,"Dependency management, Version management"
24010,"Code documentation, Code modification, Code optimization"
24059,"TensorFlow Lite bug reporting, TensorFlow Lite community engagement, TensorFlow Lite deployment, TensorFlow Lite hardware acceleration integration, TensorFlow Lite operations legalization, TensorFlow Lite performance optimization, TensorFlow Lite profiling, TensorFlow Lite schema handling, TensorFlow Lite version compatibility"
23838,"Code changes, Code documentation, Code modification, Code optimization, Code patching, Code review, Collaboration on code changes through pull requests, Debugging, Debugging issues related to memory allocation, Neural network hardware acceleration integration, Profiling and performance analysis, Pull Requests (PRs), Repository management, TensorFlow Lite development, TensorFlow Lite model manipulation, TensorFlow Lite schema handling, TensorFlow installation and configuration, TensorFlow version (r1.1), Testing (`assert_array_equal`), Testing and validation of numerical computations, Testing frameworks (pytest), Version control (Git)"
24023,"Debugging, Error handling, GPU Support, Jupyter Notebook, Python version management, TensorFlow Lite development, TensorFlow Lite model manipulation, TensorFlow Lite schema handling, TensorFlow installation and configuration, TensorFlow version (r1.1)"
24026,"Conversion of models to TensorFlow Lite, Custom implementation for operators, Operator support in TensorFlow Lite, TensorFlow Lite schema handling, TensorFlow installation and configuration, TensorFlow version (r1.1), Testing frameworks (pytest)"
23056,"Collection management, Concurrent execution, Dataset operations, Debugging, Debugging issues related to memory allocation, Exception Handling, Exception handling, Exception management, GPU utilization, Gradient descent optimization, Input pipeline, Losses collection, Memory Management, Memory Space Handling, Memory management, Memory-mapped files, MirroredStrategy, Model training, Multithreading, Python, Python programming language, Python testing frameworks, Python version management, Python virtual environments, TensorFlow Estimator API, TensorFlow Lite schema handling, TensorFlow community support, TensorFlow documentation, TensorFlow installation and configuration, TensorFlow version (r1.1), TensorFlow version compatibility, Testing, Testing (`assert_array_equal`), Testing and validation of numerical computations, Testing frameworks (pytest), Testing**, Thread synchronization, Thread-local storage, Threading and parallelism"
23964,"Android NDK, Array manipulation, C++ programming, Cross-compilation, Math operations, TensorFlow Lite schema handling, TensorFlow installation and configuration, TensorFlow version (r1.1), Third-party libraries integration"
24004,"Build/Install Issues, Dependency Management (`compile` to `implementation`), Dependency management, File operations, Git, Git version control system, Pull Request Submission, Pull Requests (PRs), Testing frameworks (pytest), Version control (Git)"
23793,"Dependency management, Environment setup, Error handling, Module management, Running scripts with specific environments"
89210,"TensorFlow Lite, TensorFlow Lite development, TensorFlow Lite model manipulation, TensorFlow Lite schema handling"
89210,"TensorFlow Lite, TensorFlow Lite development, TensorFlow Lite model manipulation, TensorFlow Lite schema handling"
23619,"Debugging, Error handling, TensorFlow Lite development, TensorFlow Lite model manipulation, TensorFlow Lite schema handling, TensorFlow installation and configuration, TensorFlow version (r1.1), Testing, Testing and validation of numerical computations, Testing frameworks (pytest), Writing and debugging Python code"
23909,"TensorFlow Lite schema handling, Testing frameworks (pytest), Writing unit tests"
28599,"Bug fixing, Code documentation, Code optimization, Code refactoring, Code review, Collaboration on code changes through pull requests, Flags handling, Memory management, Pull Request Submission, Testing, Version control (Git), Writeable flag"
28446,"Type casting, Type hinting"
28446,"Type casting, Type hinting"
28570,"Testing, Testing (`assert_array_equal`), Testing and validation of numerical computations, Testing frameworks (pytest), Version control (Git), Virtual environments, Writing and debugging Python code, Writing unit tests"
14925,"Debugging, Error handling, Testing, Testing frameworks (pytest), UFuncs, Vector-Matrix operations, Vectorization, Writing and debugging Python code"
27786,"Array manipulation, Benchmarking, CPU vs GPU usage in TensorFlow, Code documentation, Code optimization, Code review, Collaboration on code changes through pull requests, Concurrency, Debugging, Memory management, Optimization techniques for neural networks, Profiling, Pull Request Submission, Python dependency resolution, Python extension modules, Python programming language, Python testing frameworks, Python version management, Python virtual environments, Repository management, SIMD extensions, Testing and validation of numerical computations, Testing frameworks (pytest), Thread Sanitizer, Vectorization, Vectorized operations, Version control (Git)"
19013,"ABI compatibility, Collaboration on code changes through pull requests, Data interchange, Pull Request Submission, Python documentation generation, Testing frameworks (pytest), Version control (Git)"
19013,"ABI compatibility, Collaboration on code changes through pull requests, Data interchange, Pull Request Submission, Python documentation generation, Testing frameworks (pytest), Version control (Git)"
19013,"ABI compatibility, Collaboration on code changes through pull requests, Data interchange, Pull Request Submission, Python documentation generation, Testing frameworks (pytest), Version control (Git)"
28400,"Arithmetic Operations, Array Manipulation, Data Types, Exception Handling, NumPy library development, Performance optimization, Python programming, Testing, Version Control"
28400,"Arithmetic Operations, Array Manipulation, Data Types, Exception Handling, NumPy library development, Performance optimization, Python programming, Testing, Version Control"
28504,"Testing, Testing (`assert_array_equal`), Version Control (Git), Writing and debugging Python code"
28440,"Ensuring clarity and completeness in documentation, Pull Request Submission, Pull Requests (PRs)"
28493,"Bug reporting, Code execution, Code modification, Code review, Debugging, Dependency management, Docstring writing, Git, Git version control system, GitHub issues, Issue reproduction, Libraries (NumPy), Matplotlib, NumPy documentation, NumPy functions, NumPy testing, Pull requests, Python, Python testing frameworks, Regression testing, Testing, Testing frameworks (pytest), Version control, Version management"
28479,"Code documentation, Debugging, Exception handling, Memory management, Python programming, Testing, Version control (Git)"
27183,"Build system customization (e.g., Bazel), Compiler directives, Compiler plugin development, Python programming, Testing and validation of numerical computations, Testing frameworks (pytest), Writing and debugging Python code, Writing technical documentation"
28434,"Code documentation, Debugging issues related to memory allocation, Function pointers, Macros, Prototypes, Software development, Technical writing"
28412,"Automated testing, Bug reporting, Continuous Integration/Continuous Deployment (CI/CD), Issue tracking, Repository management, Testing frameworks (pytest), Version control (Git), Wheel building"
28405,"Build System Customization, Build Tool Versions, CI/CD Integration, Compiler Directives, Environment Setup, GCC Compiler, Linker Issues, Memory Management, Platform-Specific Issues, Python Extension Modules, QEMU Emulation"
28405,"Build System Customization, Build Tool Versions, CI/CD Integration, Compiler Directives, Environment Setup, GCC Compiler, Linker Issues, Memory Management, Platform-Specific Issues, Python Extension Modules, QEMU Emulation"
28354,"Python programming, Python testing frameworks, Testing (`assert_array_equal`), Type casting, Type checking tools (e.g., MyPy), Type hinting, UFuncs, Vector-Matrix operations, Vectorization, Writing and debugging Python code"
28354,"Python programming, Python testing frameworks, Testing (`assert_array_equal`), Type casting, Type checking tools (e.g., MyPy), Type hinting, UFuncs, Vector-Matrix operations, Vectorization, Writing and debugging Python code"
28402,"Ensuring clarity and completeness in documentation, Familiarity with numpy library, Generating documentation, Maintaining technical documentation, Reviewing documentation, Updating documentation to reflect changes in codebase"
22237,"Code optimization, Testing, Type casting, Version control (Git)"
22237,"Code optimization, Testing, Type casting, Version control (Git)"
27932,"Build/Install Issues, C/C++ programming, Compiler directives, Debugging, Dependency management, Docker containerization platform, Error handling, File operations, Git, Git version control system, GitHub Actions CI/CD tool, Linux, Memory management, NumPy, NumPy library, OpenBLAS, Python, Python 3.12, Python extension modules, Python virtual environments, Software development, System administration, Testing, Version control (Git), Virtual environments"
15986,"Python testing frameworks, Testing, Testing (`assert_array_equal`)"
28315,"Bug reporting, Data types (`dtype`), Debugging, Maximum rows, Python programming, Reproducible examples, Skipping rows, Testing frameworks (pytest), Version control (Git)"
28315,"Bug reporting, Data types (`dtype`), Debugging, Maximum rows, Python programming, Reproducible examples, Skipping rows, Testing frameworks (pytest), Version control (Git)"
25626,"ARM architecture, NumPy library, Python extension modules, Python version management, Testing frameworks (pytest), Version control (Git), Windows operating system"
28316,"Data types, Debugging, Deprecation warnings, Memory management, Object dtype, Python version management, Scalar types, StringDType, Testing (`assert_array_equal`), Testing frameworks (pytest), Version control (Git)"
26910,"Git version control system, Hardware-assisted Address Sanitizer (HWASan), Meson build system, NumPy library, Python programming, Testing frameworks (pytest), Version control (Git)"
28048,"NumPy, Python, Testing, Version Control"
28048,"NumPy, Python, Testing, Version Control"
28269,"Bug reporting, Issue reproduction, StringDType, Testing frameworks (pytest), Type casting, Type checking tools (e.g., MyPy), Type hinting, Version control (Git)"
28267,"NumPy, Python, Testing, UFuncs"
28256,"NumPy, Overload Ambiguity Fixes, Overloaded Methods, Python Version Management, Testing (`assert_array_equal`), Type Annotations"
27342,"Array manipulation, Broadcasting, Code documentation, Code modification, Code optimization, Exception handling, Pull Request Submission, Pull Requests (PRs), Testing, Unit testing"
25969,"Browser-based computing, Collaboration on documentation projects, Deployment of documentation, Feature enhancements, Interactive coding environments, Jupyter Notebook integration, Pull request submission, Pyodide library, Repository management, Testing and validation of documentation features, User feedback collection, Version control (Git), Wasm-based kernels, Web-based development tools"
28239,"NumPy library, Python, Python programming language, Static type checking, Testing frameworks (pytest)"
28106,"Compiler plugin development, Debugging, Dependency management, Environment setup, Git, GitHub Actions CI/CD tool, Meson build system, NumPy, NumPy library development, Python, Python extension modules, Python virtual environments, Software development, System administration, Version control (Git), Windows operating system, X86 assembly language"
28157,"Assert statement, Assertion errors, Debugging, NaN handling, Python version management, Runtime errors, Testing frameworks (pytest), Type casting, Type checking tools (e.g., MyPy), Type hinting, Type promotion, Version control (Git), Version management"
27983,"Function pointers, Overloaded Methods**, Overloading functions, Overloading methods, Pull Request Submission, Pull Requests (PRs), Testing, Testing (`assert_array_equal`)"
28197,"Array manipulation, Broadcasting, C backtraces, CPython internals, Debugging, Free-threaded builds, Memory corruption detection, Memory management, Python extension modules, Python testing frameworks, Python version management, Reproducible bug reports, Stack traces, Thread synchronization"
28054,"Pull Requests (PRs), Testing frameworks (pytest), Type Checking Tools**, Type checking tools (e.g., MyPy), Type hinting, Version Control**"
28068,"Array manipulation, Error handling, GDB debugging, Memory management, Numeric computing, Padding, Python extension modules, Python version compatibility, Stack traces, String formatting"
28068,"Array manipulation, Error handling, GDB debugging, Memory management, Numeric computing, Padding, Python extension modules, Python version compatibility, Stack traces, String formatting"
28190,"Array manipulation, Data types, Debugging, Debugging issues related to memory allocation, Memory management, Performance optimization, Python programming, Testing, Testing frameworks (pytest), Version control (Git)"
28014,"Bug reporting, Code modification, Compilation, Debugging, Dependency management, Error handling, Integration with third-party libraries, Python extension modules, Python testing frameworks, Python version management, Python virtual environments, Regression testing, Testing, Testing and validation of numerical computations, Testing frameworks (pytest)"
25207,"Exception handling, Testing, Testing (`assert_array_equal`), Testing F2PY functionality, Testing and validation of numerical computations, Writing Fortran modules, Writing and debugging Python code, Writing unit tests"
28162,"NumPy, NumPy library, Python, Python programming language, Python testing frameworks, Testing (`assert_array_equal`), Type Checking Tools (e.g., MyPy), Type Promotion, Type Variables"
28143,"NumPy, Python, Thread Sanitizer, Type Checking Tools, Version Control, Writing and debugging Python code"
28042,"Multithreading, NumPy, Python, Testing, Thread Sanitizer, Version Control (Git)"
28122,"Build system customization (e.g., Bazel), Environment setup, Integration with Fortran code via F2PY, Python extension modules, Testing and validation of numerical computations, Testing frameworks (pytest), Version control (Git), Virtual environment setup, Writing and debugging Python code"
23070,"Compilation and linking, Cython compiler, Debugging, Debugging issues related to memory allocation, Error handling and debugging, Handling exceptions, Python extension modules, Python programming, Python testing frameworks, Repository management, Testing (`assert_array_equal`), Testing and validation of numerical computations, Testing frameworks (pytest), Version control (Git)"
25273,"Environment setup, Git, GitHub Actions CI/CD tool, Installation issues, Library management, Module imports, Python extension modules, Testing frameworks (pytest), Version control (Git)"
8579,"Array manipulation, Broadcasting, Code documentation, Code optimization, Code refactoring, Code review, Collaboration on code changes through pull requests, Performance optimization, Pull Request Submission, Pull Requests (PRs), Python documentation generation, Python programming, Python testing frameworks, Testing, Testing frameworks (pytest), Writing unit tests"
20099,"Type hinting, UFuncs"
22631,"Code documentation, Code modification, Code optimization, Debugging, Python programming, Python version management, Testing frameworks (pytest), Type annotations, Type casting, Type promotion"
27957,Testing Frameworks
27965,"Type Variables, Type casting, Type checking tools (e.g., MyPy), Type hinting, Type promotion"
28071,"NumPy, NumPy library, Python, Python programming language, Python testing frameworks, Testing (`assert_array_equal`), Type Variables, Type casting, Type checking tools (e.g., MyPy), Type promotion"
28093,"Importing modules, Referring to specific libraries (NumPy, MaskedArray), Updating documentation to reflect correct usage"
28061,"Moving documentation sections, Technical writing"
28061,"Moving documentation sections, Technical writing"
